Species,Longitude,Latitude
CEOR,-71.31,42.538056
CEOR,-71.389444,42.588056
CEOR,-71.330278,42.66
CEOR,-71.1097,42.4615
CEOR,-71.246389,42.597222
CEOR,-71.448611,42.649444
CEOR,-71.400556,42.587222
CEOR,-71.175,42.544722
CEOR,-71.188889,42.585556
CEOR,-71.776944,41.419611
CEOR,-71.3721,42.6613
CEOR,-71.3721,42.6613
CEOR,-70.4508,41.6277
CEOR,-72.7542,41.9947
CEOR,-72.880278,42.011389
CEOR,-72.884444,42
CEOR,-72.7242,41.9947
CEOR,-70.406583,43.802389
CEOR,-72.724444,41.302222
CEOR,-72.724444,41.302222
CEOR,-71.589501,41.170103
CEOR,-71.989,41.336
CEOR,-71.874,41.339
CEOR,-71.878,41.344
CEOR,-71.993,41.369
CEOR,-71.987,41.367
CEOR,-71.99,41.354
CEOR,-72.5564,41.265
CEOR,-73.1224,41.1506
CEOR,-73.024694,43.240194
CEOR,-73.47184,41.51013
CEOR,-72.2974,42.95
CEOR,-70.410639,43.790694
CEOR,-72.682593,41.816488
CEOR,-72.675092,41.813988
CEOR,-72.6642,41.7764
CEOR,-72.9081,42.5923
CEOR,-72.320251,42.498839
CEOR,-72.30264,42.534393
CEOR,-72.351889,42.278731
CEOR,-72.332001,42.440839
CEOR,-72.204998,42.436868
CEOR,-71.0089,42.3153
CEOR,-72.2839,41.4631
CEOR,-72.288,41.5039
CEOR,-72.2873,41.5041
CEOR,-70.8844,42.2512
CEOR,-72.63584,42.25023
CEOR,-71.7391,42.3385
CEOR,-72.419167,41.4075
CEOR,-72.4475,41.404444
CEOR,-72.448333,41.403889
CEOR,-72.448333,41.404167
CEOR,-72.447778,41.403611
CEOR,-72.448611,41.403889
CEOR,-71.405417,42.026833
CEOR,-72.4287,41.422
CEOR,-72.429167,41.425
CEOR,-72.429444,41.424167
CEOR,-72.4287,41.422
CEOR,-72.466389,41.469444
CEOR,-72.466111,41.468889
CEOR,-71.470556,42.033889
CEOR,-71.420722,42.085528
CEOR,-72.466111,41.471944
CEOR,-72.466111,41.472778
CEOR,-72.465,41.473889
CEOR,-72.463056,41.474444
CEOR,-72.836017,41.864583
CEOR,-72.83332,41.86523
CEOR,-72.82747,41.8646
CEOR,-72.83625,41.86372
CEOR,-72.8349,41.8641
CEOR,-72.83885,41.8634
CEOR,-72.78688,41.83522
CEOR,-72.788,41.8369
CEOR,-72.79047,41.83983
CEOR,-72.79342,41.8402
CEOR,-72.7929,41.83995
CEOR,-72.78833,41.83583
CEOR,-72.79023,41.83833
CEOR,-72.79698,41.83773
CEOR,-72.79747,41.83642
CEOR,-72.79153,41.83843
CEOR,-72.86277,41.8004
CEOR,-72.86233,41.80088
CEOR,-72.86195,41.80147
CEOR,-72.8631,41.80135
CEOR,-72.4775,41.503056
CEOR,-72.478333,41.500833
CEOR,-72.478333,41.495278
CEOR,-72.42,41.407778
CEOR,-72.418056,41.408333
CEOR,-72.4192,41.4073
CEOR,-72.476667,41.491944
CEOR,-71.46975,42.090556
CEOR,-72.92528,41.79523
CEOR,-71.111267,42.63895
CEOR,-71.111883,42.6389
CEOR,-71.111183,42.640567
CEOR,-71.105883,42.6406
CEOR,-71.0924,42.64482
CEOR,-71.092883,42.64553
CEOR,-71.10345,42.63897
CEOR,-72.56619,42.81917
CEOR,-71.414028,42.000028
CEOR,-71.417333,42.000639
CEOR,-71.418556,42.000944
CEOR,-71.405389,42.022833
CEOR,-71.482444,42.119194
CEOR,-72.942,41.8276
CEOR,-71.156467,42.63153
CEOR,-71.154017,42.6354
CEOR,-71.15625,42.6297
CEOR,-71.579549,41.644111
CEOR,-71.577208,41.644506
CEOR,-71.312218,41.7691
CEOR,-71.836081,41.329575
CEOR,-71.839089,41.329441
CEOR,-72.56678,42.81935
CEOR,-71.252027,41.502916
CEOR,-71.25257,41.50285
CEOR,-71.250933,41.498037
CEOR,-71.250606,41.496279
CEOR,-71.171847,41.555874
CEOR,-71.555154,41.389641
CEOR,-71.555263,41.391468
CEOR,-72.5605,41.47726
CEOR,-71.9465,41.85896
CEOR,-71.954697,41.85611
CEOR,-71.95985,41.86951
